nohup: ignoring input
[full_import] start import_customer_to_neo4j
[customer] written=21000000 total=21000000 skipped=0
[customer] written=21050000 total=21050000 skipped=0
[customer] written=21100000 total=21100000 skipped=0
[customer] written=21150000 total=21150000 skipped=0
[customer] written=21200000 total=21200000 skipped=0
[customer] written=21250000 total=21250000 skipped=0
[customer] written=21300000 total=21300000 skipped=0
[customer] written=21350000 total=21350000 skipped=0
[customer] written=21400000 total=21400000 skipped=0
[customer] written=21450000 total=21450000 skipped=0
[customer] written=21500000 total=21500000 skipped=0
[customer] written=21550000 total=21550000 skipped=0
[customer] written=21600000 total=21600000 skipped=0
[customer] written=21650000 total=21650000 skipped=0
[customer] written=21700000 total=21700000 skipped=0
[customer] written=21750000 total=21750000 skipped=0
[customer] written=21800000 total=21800000 skipped=0
[customer] written=21850000 total=21850000 skipped=0
[customer] written=21900000 total=21900000 skipped=0
[customer] written=21950000 total=21950000 skipped=0
[customer] written=22000000 total=22000000 skipped=0
[customer] written=22050000 total=22050000 skipped=0
[customer] written=22100000 total=22100000 skipped=0
[customer] written=22150000 total=22150000 skipped=0
[customer] written=22200000 total=22200000 skipped=0
[customer] written=22250000 total=22250000 skipped=0
[customer] written=22300000 total=22300000 skipped=0
[customer] written=22350000 total=22350000 skipped=0
[customer] written=22400000 total=22400000 skipped=0
[customer] written=22450000 total=22450000 skipped=0
[customer] written=22500000 total=22500000 skipped=0
[customer] written=22550000 total=22550000 skipped=0
[customer] written=22600000 total=22600000 skipped=0
[customer] written=22650000 total=22650000 skipped=0
[customer] written=22700000 total=22700000 skipped=0
[customer] written=22750000 total=22750000 skipped=0
[customer] written=22800000 total=22800000 skipped=0
[customer] written=22850000 total=22850000 skipped=0
[customer] written=22900000 total=22900000 skipped=0
[customer] written=22950000 total=22950000 skipped=0
[customer] written=23000000 total=23000000 skipped=0
[customer] written=23050000 total=23050000 skipped=0
[customer] written=23100000 total=23100000 skipped=0
[customer] written=23150000 total=23150000 skipped=0
[customer] written=23200000 total=23200000 skipped=0
[customer] written=23250000 total=23250000 skipped=0
[customer] written=23300000 total=23300000 skipped=0
[customer] written=23350000 total=23350000 skipped=0
[customer] written=23400000 total=23400000 skipped=0
[customer] written=23450000 total=23450000 skipped=0
[customer] written=23500000 total=23500000 skipped=0
[customer] written=23550000 total=23550000 skipped=0
[customer] written=23600000 total=23600000 skipped=0
[customer] written=23650000 total=23650000 skipped=0
[customer] written=23700000 total=23700000 skipped=0
[customer] written=23750000 total=23750000 skipped=0
[customer] written=23800000 total=23800000 skipped=0
[customer] written=23850000 total=23850000 skipped=0
[customer] written=23900000 total=23900000 skipped=0
[customer] written=23950000 total=23950000 skipped=0
[customer] written=24000000 total=24000000 skipped=0
[customer] written=24050000 total=24050000 skipped=0
[customer] written=24100000 total=24100000 skipped=0
[customer] written=24150000 total=24150000 skipped=0
[customer] written=24200000 total=24200000 skipped=0
[customer] written=24250000 total=24250000 skipped=0
[customer] written=24300000 total=24300000 skipped=0
[customer] written=24350000 total=24350000 skipped=0
[customer] written=24400000 total=24400000 skipped=0
[customer] written=24450000 total=24450000 skipped=0
[customer] written=24500000 total=24500000 skipped=0
[customer] written=24550000 total=24550000 skipped=0
[customer] written=24600000 total=24600000 skipped=0
[customer] written=24650000 total=24650000 skipped=0
[customer] written=24700000 total=24700000 skipped=0
[customer] written=24750000 total=24750000 skipped=0
[customer] written=24800000 total=24800000 skipped=0
[customer] written=24850000 total=24850000 skipped=0
[customer] written=24900000 total=24900000 skipped=0
[customer] written=24950000 total=24950000 skipped=0
[customer] written=25000000 total=25000000 skipped=0
[customer] written=25050000 total=25050000 skipped=0
